City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,zaragoza,41.6561,-0.8773,16.56,45,20,8.23,ES,1698686655
1,bethel,41.3712,-73.414,13.2,91,100,0.0,US,1698686354
2,aasiaat,68.7098,-52.8699,-4.47,79,64,6.91,GL,1698686611
3,grytviken,-54.2811,-36.5092,5.74,75,91,4.98,GS,1698686567
4,edinburgh of the seven seas,-37.0676,-12.3116,11.68,86,95,14.65,SH,1698686568
5,dombarovskiy,50.7587,59.5386,4.44,82,97,9.39,RU,1698686657
6,magistral'nyy,56.1725,107.4458,-8.13,55,13,0.59,RU,1698686657
7,lensk,60.7253,114.9278,-7.11,85,100,2.59,RU,1698686658
8,lompoc,34.6391,-120.4579,22.66,28,0,3.09,US,1698686431
9,saipan,15.1355,145.701,28.39,78,20,4.12,MP,1698686572
10,port-aux-francais,-49.35,70.2167,2.91,73,72,14.54,TF,1698686566
11,klyuchi,52.2667,79.1667,6.32,97,94,3.27,RU,1698686611
12,kattivakkam,13.2167,80.3167,28.37,80,100,4.38,IN,1698686659
13,lazaro cardenas,17.9583,-102.2,29.01,73,13,1.12,MX,1698685781
14,tofol,5.3248,163.0078,28.61,74,33,4.97,FM,1698686269
15,vilyuchinsk,52.9306,158.4028,0.52,80,85,3.08,RU,1698686660
16,wahpeton,46.2652,-96.6059,-0.6,74,100,7.2,US,1698686660
17,yellowknife,62.456,-114.3525,-1.44,85,75,4.63,CA,1698686571
18,rongelap,11.1635,166.8941,28.28,81,100,10.0,MH,1698686646
19,puerto natales,-51.7236,-72.4875,6.25,39,75,3.6,CL,1698686569
20,susuman,62.7833,148.1667,-16.68,97,82,0.45,RU,1698686661
21,darwin,-12.4611,130.8418,26.99,80,100,1.03,AU,1698686271
22,uturoa,-16.7333,-151.4333,26.06,80,13,8.24,PF,1698686570
23,kamen'-rybolov,44.7481,132.0403,7.54,79,5,2.12,RU,1698686662
24,west island,-12.1568,96.8225,25.99,89,100,7.2,CC,1698686576
25,pudozh,61.8099,36.5345,-2.81,79,70,2.24,RU,1698686662
26,nicoya,10.1483,-85.452,22.68,99,100,0.53,CR,1698686663
27,whitehorse,60.7161,-135.0538,0.43,92,75,2.06,CA,1698686494
28,bredasdorp,-34.5322,20.0403,14.93,71,0,9.7,ZA,1698686617
29,baharly,38.4362,57.4316,21.15,47,65,7.8,TM,1698686663
